hour,avg_turns,p90_turns,p95_turns,session_count
0,1.0766709983614893,1.0,1.0,53097
1,1.0391777696130566,1.0,1.0,51713
2,1.0257971623121456,1.0,1.0,33337
3,1.0110596961044929,1.0,1.0,30471
4,1.0239872553482021,1.0,1.0,21970
5,1.069902722784377,1.0,1.0,20457
6,1.1040527640371431,1.0,1.0,11523
7,1.5314514336519227,1.0,1.0,8998
8,1.7755255255255256,1.0,1.0,9324
9,1.2402105955906548,1.0,1.0,18234
10,1.2687322464373523,1.0,2.0,41893
11,1.1450576900202212,1.0,1.0,67256
12,1.0493289020818335,1.0,1.0,101401
13,1.068624548522707,1.0,1.0,84445
14,1.121250038148137,1.0,1.0,98301
15,1.200274271640872,1.0,2.0,71462
16,1.1761770506558658,1.0,2.0,75549
17,1.1347468266145906,1.0,2.0,71690
18,1.1200446421746242,1.0,1.0,65409
19,1.1098162873594735,1.0,1.0,87528
20,1.1182433354252503,1.0,1.0,73298
21,1.1339509344293879,1.0,2.0,62284
22,1.1007004818917978,1.0,1.0,60387
23,1.1022008055235903,1.0,1.0,55616
