hour,avg_turns,session_count,frac_ge2,frac_ge3
0,1.0853155545511046,53097,0.029286023692487336,0.004162193720925853
1,1.0408407943843907,51713,0.017171697638891575,0.0024558621623189526
2,1.055050550505505,33333,0.00954009540095401,0.0017700177001770017
3,1.0095200577769023,30462,0.00397216203794892,0.0005252445670015101
4,1.0085154826958105,21960,0.001912568306010929,0.0003187613843351548
5,1.0952893410947513,20443,0.0026414909749058356,0.0006359144939588123
6,1.0884294649061848,11512,0.0036483669214732455,0.0009555246699096595
7,1.4854185218165628,8984,0.004897595725734639,0.0024487978628673196
8,1.544995704467354,9312,0.010094501718213059,0.002577319587628866
9,1.233916524982175,18233,0.04491855426973071,0.00817199583173367
10,1.2687322464373523,41893,0.05771847325328814,0.013773184064163464
11,1.1450576900202212,67256,0.049898893778993696,0.0071815154038301415
12,1.0493289020818335,101401,0.020571789232847804,0.002337255056656246
13,1.068624548522707,84445,0.03133400438155012,0.004890757297649357
14,1.121250038148137,98301,0.044078900519831946,0.007558417513555305
15,1.20055414066217,71462,0.07259802412470964,0.013181830903137333
16,1.1761770506558658,75549,0.07163562720883135,0.01274669419846722
17,1.1347468266145906,71690,0.05611661319570373,0.008913377040033477
18,1.1204574294057392,65409,0.03904661438028406,0.0056261370759375625
19,1.1181222008957135,87528,0.03213828717667489,0.0060095055296590805
20,1.1195939861933477,73298,0.04277060765641627,0.007530901252421621
21,1.1367767002761544,62284,0.05271016633485325,0.009793847537088177
22,1.1007004818917978,60387,0.044810969248348154,0.00771689270869558
23,1.1066599539700805,55616,0.04209220368239355,0.007336018411967779
